20 20
4 12 1; 1587.635 -39.5 2863.496; 1696.156 -39.5 2787.509; 1792.285 -39.5 2924.796; 1683.764 -39.5 3000.783
4 13 1; 1683.764 -39.5 3000.783; 1792.285 -39.5 2924.796; 1888.414 -39.5 3062.083; 1779.894 -39.5 3138.07
4 14 1; 1779.894 -39.5 3138.07; 1888.414 -39.5 3062.083; 1984.544 -39.5 3199.37; 1876.023 -39.5 3275.357
4 15 1; 1876.023 -39.5 3275.357; 1984.544 -39.5 3199.37; 2080.673 -39.5 3336.656; 1972.152 -39.5 3412.644
4 16 1; 1972.152 -39.5 3412.644; 2080.673 -39.5 3336.656; 2176.802 -39.5 3473.944; 2068.282 -39.5 3549.931
4 17 1; 2068.282 -39.5 3549.931; 2176.802 -39.5 3473.944; 2272.932 -39.5 3611.23; 2164.411 -39.5 3687.218
4 18 1; 2164.411 -39.5 3687.218; 2272.932 -39.5 3611.23; 2369.061 -39.5 3748.518; 2260.541 -39.5 3824.504
4 19 1; 2260.541 -39.5 3824.504; 2369.061 -39.5 3748.518; 2465.19 -39.5 3885.804; 2356.67 -39.5 3961.792
5 0 1; 542.6031 -39.5 1140.065; 651.1238 -39.5 1064.078; 747.2532 -39.5 1201.365; 638.7325 -39.5 1277.352
5 1 1; 638.7325 -39.5 1277.352; 747.2532 -39.5 1201.365; 843.3825 -39.5 1338.652; 734.8619 -39.5 1414.639
5 2 1; 734.8619 -39.5 1414.639; 843.3825 -39.5 1338.652; 939.5119 -39.5 1475.939; 830.9913 -39.5 1551.926
5 3 1; 830.9913 -39.5 1551.926; 939.5119 -39.5 1475.939; 1035.641 -39.5 1613.226; 927.1206 -39.5 1689.213
5 4 1; 927.1206 -39.5 1689.213; 1035.641 -39.5 1613.226; 1131.771 -39.5 1750.513; 1023.25 -39.5 1826.5
5 5 1; 1023.25 -39.5 1826.5; 1131.771 -39.5 1750.513; 1227.9 -39.5 1887.8; 1119.379 -39.5 1963.787
5 6 1; 1119.379 -39.5 1963.787; 1227.9 -39.5 1887.8; 1324.029 -39.5 2025.087; 1215.509 -39.5 2101.074
5 7 1; 1215.509 -39.5 2101.074; 1324.029 -39.5 2025.087; 1420.159 -39.5 2162.374; 1311.638 -39.5 2238.361
