20 20
4 12 1; 70450 2209.684 -644200; 77950 2187.803 -644200; 77950 2190.43 -639200; 70450 2231.271 -639200
4 13 1; 70450 2231.271 -639200; 77950 2190.43 -639200; 77950 2197.319 -634200; 70450 2341.011 -634200
4 14 1; 70450 2334.332 -634200; 77950 2214.062 -634200; 77950 2314.113 -629200; 70450 2340.137 -629200
4 15 1; 70450 2340.137 -629200; 77950 2314.113 -629200; 77950 2339.416 -624200; 70450 2344.691 -624200
4 16 1; 70450 2344.691 -624200; 77950 2339.416 -624200; 77950 2340.963 -619200; 70450 2353.15 -619200
4 17 1; 70450 2353.15 -619200; 77950 2340.963 -619200; 77950 2358.029 -614200; 70450 2372.019 -614200
4 18 1; 70450 2372.019 -614200; 77950 2358.029 -614200; 77950 2403.561 -609200; 70450 2407.596 -609200
4 19 1; 70450 2407.596 -609200; 77950 2403.561 -609200; 77950 2435.288 -604200; 70450 2412.106 -604200
5 0 1; 77949.99 2415.075 -704200; 85449.99 2393.276 -704200; 85449.99 2355.806 -699200; 77949.99 2380.465 -699200
5 1 1; 77949.99 2380.465 -699200; 85449.99 2355.806 -699200; 85449.99 2329.787 -694200; 77949.99 2348.701 -694200
5 2 1; 77949.99 2348.701 -694200; 85449.99 2329.787 -694200; 85449.99 2313.453 -689200; 77949.99 2326.027 -689200
5 3 1; 77949.99 2326.027 -689200; 85449.99 2313.453 -689200; 85449.99 2292.687 -684200; 77949.99 2309.835 -684200
5 4 1; 77949.99 2309.835 -684200; 85449.99 2292.687 -684200; 85450 2261.253 -679200; 77949.99 2288.869 -679200
5 5 1; 77949.99 2288.869 -679200; 85450 2261.253 -679200; 85450 2238.11 -674200; 77949.99 2262.436 -674200
5 6 1; 77949.99 2262.436 -674200; 85450 2238.11 -674200; 85450 2218.086 -669200; 77949.99 2242.636 -669200
5 7 1; 77949.99 2242.636 -669200; 85450 2218.086 -669200; 85450 2196.707 -664200; 77950 2226.082 -664200
5 8 1; 77950 2226.082 -664200; 85450 2196.707 -664200; 85450 2178.337 -659200; 77950 2209.974 -659200
5 9 1; 77950 2209.974 -659200; 85450 2178.337 -659200; 85450 2168.877 -654200; 77950 2197.12 -654200
5 10 1; 77950 2197.12 -654200; 85450 2168.877 -654200; 85450 2165.35 -649200; 77950 2189.535 -649200
5 11 1; 77950 2189.535 -649200; 85450 2165.35 -649200; 85450 2165.266 -644200; 77950 2187.803 -644200
